????abandon,/ ?’b?nd?n/                                             ,vt.丢弃；放弃，抛弃
　　rack,/ r?k/                                             ,n.搁物架；行李架
　　rack,/ r?k/                                             ,vt.使苦痛，折磨
　　radar,/ ‘reid?/                                             ,n.雷达，无线电探测器
　　radiation,/ reidi’ei??n/                                             ,n.放射，发射；辐射能
　　radio,/ ‘reidi?u/                                             ,n.无线电；收音机
　　radioactive,/ reidi?u’?ktiv/                                             ,a.放射性的
　　radius,/ ‘reidj?s/                                             ,n.半径
　　rag,/ r?g/                                             ,n.破布，碎布，抹布
　　rail,/ reil/                                             ,n.横条，横杆；铁轨
　　railroad,/ ‘reilr?ud/                                             ,n.铁路 vi.由铁路运输
　　railway,/ ‘reilwei/                                             ,n.铁路，铁道
　　rain,/ rein/                                             ,n.雨，雨水 vi.下雨
　　rainbow,/ ‘reinb?u/                                             ,n.虹，彩虹
　　rainy,/ ‘reini/                                             ,a.下雨的，多雨的
　　raise,/ ‘reiz/                                             ,vt.举起；引起；提高
　　range,/ reind?/                                             ,n.排，行；山脉；范围
　　rank,/ r??k/                                             ,n.排，横行；社会阶层
　　rapid,/ ‘r?pid/                                             ,a.快的 n.急流
　　rare,/ re?/                                             ,a.稀薄的；稀有的
　　rarely,/ ‘re?li/                                             ,ad.很少，难得
　　rat,/ r?t/                                             ,n.老鼠，耗子
　　rate,/ reit/                                             ,n.比率；速度；价格
　　rather,/ ‘ra:e?/                                             ,ad.宁可，宁愿；相当
　　ratio,/ ‘rei?i?u/                                             ,n.比，比率
　　rational,/ ‘r???nl/                                             ,a.理性的；出于理性的
　　raw,/ r?:/                                             ,a.未煮过的；未加工的
　　ray,/ rei/                                             ,n.光线，射线，辐射线
　　reach,/ ri:t?/                                             ,vt.抵达；伸出vi.达到
　　react,/ ri’?kt/                                             ,vi.起反应；有影响
　　reaction,/ ri’?k??n/                                             ,n.反应；反作用
　　read,/ ri:d/                                             ,vt.读，看懂 vi.读
　　reader,/ ‘ri:d?/                                             ,n.读者；读物，读本
　　reading,/ ‘ri:di?/                                             ,n.读，阅读；读书
　　ready,/ ‘redi/                                             ,a.准备好的；愿意的
　　real,/ ri?l/                                             ,a.真的；现实的
　　reality,/ ri’?liti/                                             ,n.现实；真实
　　realize,/ ‘ri?laiz/                                             ,vt.实现；认识到
　　really,/ ‘ri?li/                                             ,ad.真正地；实在
　　realm,/ ‘relm/                                             ,n.王国，国土；领域
　　rear,/ ri?/                                             ,n.后部，后面；背面
　　rear,/ ri?/                                             ,vt.抚养，培养；栽种
　　reason,/ ‘ri:zn/                                             ,n.理由；理性 vi.推理
　　reasonable,/ ‘ri:zn?bl/                                             ,a.合情合理的；公道的
　　rebel,"/ ‘reb?l, ri’bel/                                             ",vi.造反 n.造反者
　　recall,/ ri’k?:l/                                             ,vt.回想；叫回；收回
　　receipt,/ ri’si:t/                                             ,n.收到；收条，收据
　　receive,/ ri’si:v/                                             ,vt.收到；得到；接待
　　receiver,/ ri’si:v?/                                             ,n.收受者，收件人
　　recent,/ ‘ri:snt/                                             ,a.新近的，最近的
　　recently,/ ‘ri:sntli/                                             ,ad.最近，新近
　　reception,/ ri’sep??n/                                             ,a.接待；招待会；接受
　　recognition,/ rek?g’ni??n/                                             ,n.认出，识别；承认
　　recognize,/ ‘rek?gnaiz/                                             ,vt.认识，认出；承认
　　recommend,/ rek?’mend/                                             ,vt.推荐，介绍；劝告
　　recommendatio,n/                                             ,rek?men’dei??n/                                                                                               n.推荐，介绍；劝告
　　record,"/ ‘rek?:d, ri’k?:d/                                             ",n.记录；履历 vt.记录
　　recorder,/ ri’k?:d?/                                             ,n.记录者；录音机
　　recover,/ ri’kΛv?/                                             ,vt.重新获得；挽回
　　recovery,/ ri’kΛv?ri/                                             ,n.重获；痊愈，恢复
　　red,/ red/                                             ,a.红色的 n.红色
　　reduce,/ ri’dju:s/                                             ,vt.减少，减小；简化
　　reduction,/ ri’dΛk??n/                                             ,n.减少，减小，缩减
　　refer,/ ri’f?:/                                             ,vt.使求助于 vi.谈到
　　reference,/ ‘ref?r?ns/                                             ,n.参考；出处；提及
　　refine,/ ri’fain/                                             ,vt.&vi.精炼，提纯
　　reflect,/ ri’flekt/                                             ,vt.反射；反映；思考
　　reflection,/ ri’flek??n/                                             ,n.反射；映象；反映
　　reflexion,/ ri’flek??n/                                             ,n.反射；映象；反映
　　reform,/ ri’f?:m/                                             ,vt.&n.改革，改良
　　refresh,/ ri’fre?/                                             ,vt.使清新vi.恢复精神
　　refrigerator,/ ri’frid??reit?/                                             ,n. 冰箱，冷藏库
　　refusal,/ ri’fju:z?l/                                             ,n.拒绝
　　refuse,/ ri’fju:z/                                             ,vt.拒绝 vt.拒绝
　　regard,/ ri’ga:d/                                             ,vt.把…看作；尊敬
　　regarding,/ ri’ga:di?/                                             ,prep.关于
　　regardless,/ ri’ga:dlis/                                             ,ad.不顾一切地
　　region,/ ‘ri:d??n/                                             ,n.地区，地带；领域
　　register,/ ‘red?ist?/                                             ,n.&vt.登记，注册
　　regret,/ ri’gret/                                             ,vt.懊悔；抱歉 n.懊悔
　　regular,/ ‘regjul?/                                             ,a.规则的；整齐的
　　regulate,/ ‘regjuleit/                                             ,vt.管理，控制；调整
　　regulation,/ regju’lei??n/                                             ,n.规则，规章；管理
　　reinforce,/ ri:in’f?:s/                                             ,vt.增援，支援；加强
　　reject,/ ri’d?ekt/                                             ,vt.拒绝；丢掉；驳回
　　relate,/ ri’leit/                                             ,vt.叙述；使联系
　　relation,/ ri’lei??n/                                             ,n.关系，联系；家属
　　relationship,/ ri’lei??n?ip/                                             ,n.关系，联系
　　relative,/ ‘rel?tiv/                                             ,a.有关系的；相对的
　　relativity,/ rel?’tiviti/                                             ,n.相关性；相对性
　　relax,/ ri’l?ks/                                             ,vt.使松弛 vi.松弛
　　release,/ ri’li:s/                                             ,vt.释放；放松；发表
　　relevant,/ ‘reliv?nt/                                             ,a.有关的，贴切的
　　reliability,/ rilai?’biliti/                                             ,n.可靠性
　　reliable,/ ri’lai?bl/                                             ,a.可靠的，可信赖的
　　relief,/ ri’li:f/                                             ,n.减轻；救济；援救
　　relieve,/ ri’li:v/                                             ,vt.减轻，解除；救济
　　religion,/ ri’lid??n/                                             ,n.宗教；宗教信仰
　　religious,/ ri’lid??s/                                             ,a.宗教的；虔诚的
　　reluctant,/ ri’lΛkt?nt/                                             ,a.不愿的，勉强的
　　rely,/ ri’lai/                                             ,vi.依赖，依靠；信赖
　　remain,/ ri’mein/                                             ,vi.剩下，余留；保持
　　remark,/ ri’ma:k/                                             ,vt.&vi.&n.评论，谈论
　　remarkable,/ ri’ma:k?bl/                                             ,a.异常的，非凡的
　　remedy,/ ‘remidi/                                             ,n.&vt.治疗；补救
　　remember,/ ri’memb?/                                             ,vt.记得，想起；记住
　　remind,/ ri’maind/                                             ,vt.提醒，使想起
　　remote,/ ri’m?ut/                                             ,a.相隔很远的；冷淡的
　　removal,/ ri’mu:v?l/                                             ,n.移动；迁移；除掉
　　remove,/ ri’mu:v/                                             ,vt.移动，搬开；脱掉
　　render,/ ‘rend?/                                             ,vt.表示，给予；使得
　　renew,/ ri’nju:/                                             ,vt.使更新 vi.更新
　　rent,/ rent/                                             ,n.租金，租 vi.出租
　　repair,/ ri’pe?/                                             ,vt.&n.修理，修补
　　repeat,/ ri’pi:t/                                             ,vt.重说，重做 n.重复
　　repeatedly,/ ri’pi:tidli/                                             ,ad.重复地；一再
　　repetition,/ repi’ti??n/                                             ,n.重复，反复
　　reply,/ ri’plai/                                             ,vi.&n.回答，答复
　　report,/ ri’p?:t/                                             ,vt.&vi.报告；汇报
　　reporter,/ ri’p?:t?/                                             ,n.记者，通讯员
　　represent,/ repri’zent/                                             ,vt.描绘；代表；象征
　　representativ,e/                                             ,repri’zent?tiv/                                                                                               a.代表性的 n.代表
　　reproduce,/ ri:pr?’dju:s/                                             ,vt.&vi.繁殖，生殖
　　republic,/ ri’pΛblik/                                             ,n.共和国，共和政体
　　reputation,/ repju(:)’tei??n/                                             ,n.名誉，名声；好名声
　　request,/ ri’kwest/                                             ,n.&v.请求，要求
　　require,/ ri’kwai?/                                             ,vt.需要；要求，命令
　　requirement,/ ri’kwai?m?nt/                                             ,n.需要；要求
　　rescue,/ ‘reskju:/                                             ,vt.&n.援救，营救
　　resemble,/ ri’zembl/                                             ,vt.像，类似
　　reserve,/ ri’z?:v/                                             ,vt.储备，保留；预定
　　reservior,//                                             ,n.水库；蓄水池
　　residence,/ ‘rezid?ns/                                             ,n.居住；驻扎；住处
　　resident,/ ‘rezid?nt/                                             ,a.居住的 n.居民
　　resign,/ ri’zain/                                             ,vt.放弃 vi.辞职
　　resist,/ ri’zist/                                             ,vt.&vi.抵抗，抵制
　　resistance,/ ri’zist?ns/                                             ,n.抵抗；抵制；抵抗力
　　resistant,/ ri’zist?nt/                                             ,a.抵抗的，反抗的
　　resolution,/ rez?’lju:??n/                                             ,n.坚决，坚定；决定
　　resolve,/ ri’z?lv/                                             ,vt.解决；决心 n.决心
　　resort,/ ri’z?:t/                                             ,vi.&n.求助，凭借;诉诸于(+ to武力等)
　　respective,/ ris’pektiv/                                             ,各自的，各个的
　　respectively,/ ris’pektivli/                                             ,ad.各自地，分别地
　　respond,/ ris’p?nd/                                             ,vi.作答；响应
　　response,/ ris’p?ns/                                             ,n.作答，回答；响应
　　restless,/ ‘restlis/                                             ,a.不安定的，焦虑的
　　restore,/ ris’t?:/                                             ,vt.恢复；归还；修补
　　restrain,/ ris’trein/                                             ,vt.抑制，遏制；限制
　　restraint,/ ris’treint/                                             ,n.抑制；遏制；克制
　　restrict,/ ris’trikt/                                             ,vt限制，限定，约束
　　resume,/ ri’zju:m/                                             ,vt.恢复；重新开始
　　retain,/ ri’tein/                                             ,vt.保持，保留，保有
　　retire,/ ri’tai?/                                             ,vi.退下；引退；就寝
　　retreat,/ ri’tri:t/                                             ,vi.(被迫)退却，后退
　　reveal,/ ri’vi:l/                                             ,vt.展现；揭示，揭露
　　reverse,/ ri’v?:s/                                             ,vt.颠倒，翻转 n.背面
　　review,/ ri’vju:/                                             ,vt.再检查 n.复习
　　revise,/ ri’vaiz/                                             ,vt.修订，校订；修改
　　revolt,/ ri’v?ult/                                             ,vi.&n.反抗，造反
　　revolution,/ rev?’lu:??n/                                             ,n.革命；旋转，绕转
　　revolutionary,/ rev?’lu:??n?ri/                                             ,a.革命的 n.革命者
　　reward,/ ri’w?:d/                                             ,n.报答；报酬 vt.报答
　　rhythm,/ ‘rie?m/                                             ,n.韵律，格律；节奏
　　rib,/ rib/                                             ,n.肋，肋骨
　　ribbon,/ ‘rib?n/                                             ,n.缎带，丝带；带
　　rid,/ rid/                                             ,vt.使摆脱，使去掉
　　ridge,/ rid?/                                             ,n.脊；岭，山脉；垄
　　ridiculous,/ ri’dikjul?s/                                             ,a.荒谬的，可笑的
　　rifle,/ ‘raifl/                                             ,n.步枪，来复枪
　　rigid,/ ‘rid?id/                                             ,a.刚硬的；僵硬的
　　ripe,/ raip/                                             ,a.熟的；时机成熟的
　　risk,/ risk/                                             ,n.风险，危险，冒险
　　rival,/ ‘raiv?l/                                             ,n.竞争者 a.竞争的
　　roar,/ r?:/                                             ,vi.吼叫；呼喊 n.吼
　　roast,/ r?ust/                                             ,vt.&vi.烤，炙，烘
　　robot,/ ‘r?ub?t/                                             ,n.机器人；自动机
　　rocket,/ ‘r?kit/                                             ,n. 火箭，火箭发动机
　　rod,/ r?d/                                             ,n.杆，竿，棒
　　roll,/ r?ul/                                             ,vi.&vt.滚动；转动
　　roller,/ ‘r?ul?/                                             ,n.滚柱，滚筒，滚轴
　　ooman,/ ‘r?um?n/                                             ,n.古罗马人 a.罗马的
　　romantic,/ r?u’m?ntik/                                             ,a.浪漫的；传奇的
　　rotary,/ ‘r?ut?ri/                                             ,a.旋转的，转动的
　　rotate,/ r?u’teit/                                             ,vi.旋转 vt.使旋转
　　rotation,/ r?u’tei??n/                                             ,n.旋转，转动；循环
　　rotten,/ ‘r?tn/                                             ,a.腐烂的，发臭的
　　rough,/ rΛf/                                             ,a.表面不平的；粗略的
　　rouse,/ rauz/                                             ,vt.唤醒，唤起；惊起
　　route,/ ru:t/                                             ,n.路，路线，路程
　　routine,/ ru:’ti:n/                                             ,n.例行公事 a.日常的
　　row,/ r?u/                                             ,n.(一)排，(一)行
　　row,/ r?u/                                             ,vt.划(船等) vi.划船
　　royal,/ ‘r?i?l/                                             ,a.王的；皇家的
　　rug,/ rΛg/                                             ,n.小地毯；毛毯
　　rural,/ ‘ru?r?l/                                             ,a.农村的，田园的
　　rush,/ rΛ?/                                             ,vi.冲，奔 vt.催促
　　rust,/ rΛst/                                             ,n.锈 vi.生锈，氧化
S,,
,,
sack/                                                                                              ,s?k/                                             ,n.袋，麻袋；开除
　　sacrifice,/ ‘s?krifais/                                             ,n.&vt.牺牲；南祭
　　saddle,/ ‘s?dl/                                             ,n.鞍子，马鞍
　　sail,/ seil/                                             ,n.帆；船 vi.航行
　　sake,/ seik/                                             ,n.缘故，理由
　　sample,/ ‘sa:mpl/                                             ,n.样品；实例，标本
　　satellite,/ ‘s?t?lait/                                             ,n.卫星；人造卫星
　　satisfactory,/ s?tis’f?kt?ri/                                             ,a.令人满意的，良好的
　　saucer,/ ‘s?:s?/                                             ,n.茶托，浅碟
　　sausage,/ ‘s?sid?/                                             ,n.香肠，腊肠
　　saw,/ s?:/                                             ,n.锯子 vt.锯，锯开
　　say,/ sei/                                             ,vt.比如说[用于举例]
　　scale,/ skeil/                                             ,n.天平，磅秤，秤
　　scale,/ skeil/                                             ,n.标度；比例；大小
　　scan,/ sk?n/                                             ,vt.细看；浏览；扫描
　　scarcely,/ ‘ske?sli/                                             ,ad.仅仅；几乎不
　　scatter,/ ‘sk?t?/                                             ,vt.使消散；撒；散播
　　scenery,/ ‘si:n?ri/                                             ,n.舞台布景；风景
　　schedule,/ ‘?edju:l/                                             ,n.时间表；计划表
　　scheme,/ ski:m/                                             ,n.计划，规划；诡计
　　scholar,/ ‘sk?l?/                                             ,n.学者(尤指文学方面)
　　scientific,/ sai?n’tifik/                                             ,a.科学(上)的
　　scissors,/ ‘siz?z/                                             ,n.剪刀，剪子
　　score,/ sk?:/                                             ,n.得分，比数，成绩
　　scout,/ skaut/                                             ,n.侦察员，侦察机
　　scrape,/ skreip/                                             ,vt.&vi.&n.刮，擦
　　scratch,/ skr?t?/                                             ,vt.&vi.&n.搔；抓
　　screw,/ skru:/                                             ,n.螺旋，螺丝 vt.拧紧
　　seal,/ ‘si:l/                                             ,n.封蜡；印记 vt.封
　　seal,/ ‘si:l/                                             ,n.海豹
　　secondary,/ ‘sek?nd?ri/                                             ,a.第二的；次要的
　　secretary,/ ‘sekr?tri/                                             ,n.秘书；书记；大臣
　　section,/ ‘sek??n/                                             ,n.切片；一段；部门
　　secure,/ si’kju?/                                             ,a.安心的；安全的
　　security,/ si’kju?riti/                                             ,n.安全，安全感
　　seed,/ si:d/                                             ,n.种(子)，籽，萌芽
　　seek,/ si:k/                                             ,vt.寻找，探索；试图
　　seize,/ si:z/                                             ,vt.抓住，逮捕；夺取
　　semiconductor,/ semik?n’dΛkt?/                                             ,n. 半导体
　　senate,/ senit/                                             ,n.参议院，上院
　　senior,/ ‘si:nj?/                                             ,a.年少的；地位较高的
　　sensible,/ ‘sens?bl/                                             ,a.感觉得到的；明智的
　　sensitive,/ ‘sensitiv/                                             ,a.敏感的；灵敏的
　　separate,"/ ‘sep?reit, ‘sep?rit/                                             ",a.分离的；个别的
　　sequence,/ ‘si:kw?ns/                                             ,n.连续，继续；次序
　　series,/ ‘si?ri:z/                                             ,n.连续，系列；丛书
　　serve,/ s?:v/                                             ,vt.为…服务；招待
　　session,/ ‘se??n/                                             ,n.会议，一段时间
　　setting,/ ‘seti?/                                             ,n.安装，调整；环境
　　settle,/ ‘setl/                                             ,vt.安排；安放；调停
　　settlement,/ ‘setlm?nt/                                             ,n.解决；殖民，殖民地
　　severe,/ si’vi?/                                             ,a.严格的；严厉的
　　sew,/ s?u/                                             ,vt.缝制 vi.缝纫
　　shade,/ ?eid/                                             ,n.荫；遮光物 vi.荫蔽
　　shave,/ ?eiv/                                             ,vt.剃，刮 vi.修面
　　shear,/ ?i?/                                             ,vt.剪；剥夺 vi.剪
　　shed,/ ?ed/                                             ,vt.流出；散发；脱落
　　shed,/ ?ed/                                             ,n.棚，小屋；贷棚
　　sheet,/ ?i:t/                                             ,n.被单；纸张；薄板
　　shelf,/ ?elf/                                             ,n.搁板，架子
　　shelter,/ ‘?elt?/                                             ,n.隐蔽处；掩蔽，庇护
　　shield,/ ?i:ld/                                             ,n.盾；防护物 vt.保护
　　shift,/ ?ift/                                             ,vt.替换，转移 n.转换
　　shiver,/ ‘?iv?/                                             ,vi.颤抖，哆嗦 n.冷颤
　　shoot,/ ?u:t/                                             ,vt.发射；射中 n.发芽
　　shore,/ ??:/                                             ,n.滨，岸
　　shortage,/ ‘??:tid?/                                             ,n.不足，缺少，不足额
　　shortly,/ ‘??:tli/                                             ,ad.立刻；简短地
　　shot,/ ??t/                                             ,n.发射；弹丸；射门
　　shower,"/ ‘??u?, ‘?au?/                                             ",n.阵雨；(一)阵；淋浴
　　shriek,/ ?ri:k/                                             ,vi.尖声喊叫 n.尖叫声
　　sideways,/ ‘saidweiz/                                             ,ad.斜着，斜向一边地
　　sightseeing,/ ‘saitsi:i?/                                             ,n.观光，游览
　　sign,/ sain/                                             ,n.符号；招牌 n.签名
　　signal,/ ‘sign?l/                                             ,n.信号 vi.发信号
　　signature,/ ‘signit??/                                             ,n.署名，签字，签名
　　significance,/ sig’nifik?ns/                                             ,n.意义，意味；重要性
　　significant,/ sig’nifik?nt/                                             ,n.有意义的；重要的
　　silence,/ ‘sail?ns/                                             ,n.沉默 vt.使沉默
　　silent,/ ‘sail?nt/                                             ,a.沉默的；寂静无声的
　　silk,/ silk/                                             ,n.蚕丝，丝，丝织品
　　silly,/ ‘sili/                                             ,a.傻的，愚蠢的
　　silver,/ ‘silv?/                                             ,n.银；银子；银器
　　similar,/ ‘simil?/                                             ,a.相似的，类似的
　　similarly,/ ‘simil?li/                                             ,ad.类似地，相似地
　　simplicity,/ sim’plisiti/                                             ,n.简单，简易；朴素
　　simplify,/ ‘simplifai/                                             ,vt.简化，使单纯
　　simply,/ ‘simpli/                                             ,ad.简单地；朴素地
　　sincere,/ sin’si?/                                             ,a.真诚的；真挚的
　　singular,/ ‘si?gjul?/                                             ,a.单一的；非凡的
　　site,/ sait/                                             ,n.地点，地基；场所
　　sketch,/ sket?/                                             ,n.略图；速写；概略
　　skilled,/ skild/                                             ,a.有技能的，熟练的
　　skillful,/ ‘skilful/                                             ,a.灵巧的，娴熟的
　　skim,/ skim/                                             ,vt.掠过，擦过；略读
　　slam,/ sl?m/                                             ,vt.使劲关，砰地放下
　　sleeve,/ sli:v/                                             ,n.袖子，袖套
　　slender,/ ‘slend?/                                             ,a.细长的；微薄的
　　slice,/ slais/                                             ,n.薄片，切片；部分
　　slide,/ slaid/                                             ,vi.滑 vt.使滑动 n.滑
　　slippery,/ ‘slip?ri/                                             ,a.滑的，使人滑跤的
　　slit,/ slit/                                             ,n.裂缝 vt.切开，撕开
　　slope,/ sl?up/                                             ,n.倾斜；斜面 vi.倾斜
　　smart,/ sma:t/                                             ,a.巧妙的；洒脱的
　　soak,/ s?uk/                                             ,vt.浸，泡 vi.浸泡
　　s?il,/ s?il/                                             ,vt.弄脏 vi.变脏
　　solar,/ ‘s?ul?/                                             ,a.太阳的，日光的
　　sole,/ s?ul/                                             ,n.脚底，鞋底，袜底
　　sole,/ s?ul/                                             ,a.单独的，唯一的
　　solemn,/ ‘s?l?m/                                             ,a.庄严的；隆重的
　　solid,/ ‘s?lid/                                             ,a.固体的 n.固体
　　soluble,/ ‘s?ljubl/                                             ,a.可溶的；可以解决的
　　solution,/ s?’lju:??n/                                             ,n.解决，解答；溶解
　　solve,/ ‘s?lv/                                             ,vt.解答，解释，解决
　　somebody,/ ‘sΛmb?di/                                             ,pron.某人，有人
　　somehow,/ ‘sΛmhau/                                             ,ad.由于某种原因
　　sometime,/ ‘sΛmtaim/                                             ,ad.在某一时候；从前
　　somewhat,/ ‘sΛmw?t/                                             ,pron.一点儿 ad.有点
　　sophisticated,/ s?’fistikeitid/                                             ,a.老于世故的；高级的
　　sore,/ s?:/                                             ,a.痛的；恼火的 n.疮
　　sorrow,/ ‘s?r?u/                                             ,n.悲痛，悲哀，悲伤
　　sort,/ s?:t/                                             ,n.种类；类别 vt.整理
　　sound,/ saund/                                             ,a.健康的；完好的
　　sour,/ ‘sau?/                                             ,a.酸的；脾气坏的
　　sow,/ s?u/                                             ,vt.播(种) vi.播种
　　spacecraft,/ ‘speiskra:ft/                                             ,n.航天器，宇宙飞船
　　spade,/ speid/                                             ,n.铲，铁锹
　　span,/ sp?n/                                             ,n.跨距；一段时间
　　spare,/ spe?/                                             ,vt.节约 a.多余的
　　spark,/ spa:k/                                             ,n.火花， 火星
　　specialist,/ spe??list/                                             ,n.专家
　　specialize,/ ‘spe??laiz/                                             ,vi.成为…专家；专攻
　　specific,/ spi’sifik/                                             ,a.特有的；具体的
　　specify,/ ‘spesifai/                                             ,vi.指定，详细说明
　　specimen,/ ‘spesimin/                                             ,n.样本，标本，样品
　　sphere,/ sfi?/                                             ,n.球，圆体；范围
　　spill,/ spil/                                             ,vt.使溢出 vi.溢出
　　spin,/ spin/                                             ,vt.纺；使旋转 n.旋转
　　spite,/ spait/                                             ,"n. 恶意,怨恨,不顾 vt. 刁难,欺侮"
　　split,/ split/                                             ,vt.劈开 vi.被劈开
　　sp?il,/ sp?il/                                             ,vt.损坏，糟蹋；宠坏
　　sponsor,/ ‘sp?ns?/                                             ,n.发起者 vt.发起
　　sportsman,/ ‘sp?:tsm?n/                                             ,n.运动员
　　spray,/ sprei/                                             ,n.浪花；喷雾 vt.喷
　　spring,/ spri?/                                             ,vi.跳，跃 n.跳跃；泉
　　spur,/ sp?:/                                             ,n.刺激物 vt.刺激
　　square,/ skwe?/                                             ,n.正方形；广场
　　squeeze,/ ‘skwi:z/                                             ,vt.&vi.榨，挤；压榨
　　stability,/ st?’biliti/                                             ,n.稳定，稳定性，巩固
　　stable,/ ‘steibl/                                             ,a.稳定的，不变的
　　stable,/ ‘steibl/                                             ,n.厩，马厩，牛棚
　　stack,/ st?k/                                             ,n.堆，垛 vt.堆积
　　staff,/ sta:f/                                             ,n.工作人员；参谋
　　stage,/ steid?/                                             ,n.舞台；戏剧；阶段
　　stain,/ stein/                                             ,vt.沾污；给…着色
　　stair,/ ste?/                                             ,n.楼梯
　　stake,/ steik/                                             ,n.桩；赌金；奖品
　　stale,/ steil/                                             ,n.陈腐的；走了气的
　　static,/ ‘st?tikl/                                             ,a.静的；静态的
　　statistical,/ st?’tistikl/                                             ,a.统计的，统计学的
　　statue,/ ‘st?tju:/                                             ,n.塑像，雕像，铸像
　　status,/ ‘steit?s/                                             ,n.地位，身分
　　steady,/ ‘stedi/                                             ,a.稳固的 vt.使稳定
　　steam,/ sti:m/                                             ,n.蒸汽 vi.蒸发 vt.蒸
　　steamer,/ ‘sti:m?/                                             ,n.轮船，汽船
　　steel,/ ‘sti:l/                                             ,n.钢，钢铁
　　steep,/ sti:p/                                             ,a.险峻的，陡峭的
　　steer,/ sti?/                                             ,vt.&vi.驾驶
　　stem,/ stem/                                             ,n.茎，(树)干 vi.起源
　　sticky,/ ‘stiki/                                             ,a.粘性的；胶粘的
　　stiff,/ stif/                                             ,a.硬的；僵直的
　　stimulate,/ ‘stimjuleit/                                             ,vt.刺激，激励，激发
　　sting,/ sti?/                                             ,vt.刺；刺痛 vi.&n.刺
　　stir,/ st?:/                                             ,vt.动；拨动；激动
　　stock,/ st?k/                                             ,n.原料；库存品；股本
　　stocking,/ ‘st?ki?/                                             ,n.长(统)袜
　　stoop,/ stu:p/                                             ,vi.俯身；弯身 n.弯腰
　　storage,/ ‘st?:rid?/                                             ,n.贮藏；贮藏量
　　store,/ st?:/                                             ,n.贮藏；贮存品；商店
　　storey,/ ‘st?:ri/                                             ,n.(层)楼
　　stove,/ st?uv/                                             ,n.炉，火炉，电炉
　　strain,/ ‘strein/                                             ,vt.拉紧 vi.尽力
　　strange,/ streind?/                                             ,a.陌生的；奇怪的
　　stranger,/ ‘streind??/                                             ,n.陌生人；新来者
　　strap,/ str?p/                                             ,n.带子 vt.捆扎
　　strategy,/ ‘str?tid?i/                                             ,n.战略；策略
　　straw,/ str?:/                                             ,n.稻草，麦杆吸管
　　strengthen,/ ‘stre?θ?n/                                             ,vt.加强，巩固
　　stress,/ stres/                                             ,n.压力；重音 vt.着重
　　stretch,/ stret?/                                             ,vt.伸展 vi.伸 n.伸展
　　string,/ stri?/                                             ,n.线，细绳；一串
　　strip,/ strip/                                             ,vt.剥；夺去 n.条带
　　stripe,/ straip/                                             ,n.条纹，条子
　　stroke,/ str?uk/                                             ,n.打，击；鸣声；中风
　　stroke,/ str?uk/                                             ,vt.&n.抚，摩，捋
　　structural,/ ‘strΛkt??r?l/                                             ,a.结构的，构造的
　　stuff,/ stΛf/                                             ,n.材料 vt.装，填，塞
　　submarine,/ ‘sΛbm?ri:n/                                             ,a.水下的 n.潜水艇
　　submerge,/ sΛb’m?:d?/                                             ,vt.浸没 vi.潜入水中
　　submit,/ sΛb’mit/                                             ,vt.使服从 vi.服从
　　subsequent,/ ‘sΛbsikw?nt/                                             ,a.随后的，后来的
　　substance,/ ‘sΛbst?ns/                                             ,n.物质；实质；本旨
　　substantial,/ s?b’st?n??l/                                             ,a.物质的；坚固的
　　substitute,/ ‘sΛbstitju:t/                                             ,n.代替人 vt.用…代替
　　subtract,/ s?b’tr?kt/                                             ,vt.减，减去，去掉
　　subway,/ ‘sΛbwei/                                             ,n.地道；地下铁路
　　succession,/ s?k’se??n/                                             ,n.连续；继任，继承
　　successive,/ s?k’sesiv/                                             ,a.连续的；接连的
　　suck,/ sΛk/                                             ,vt.吸，吮，啜；吸收
　　sufficient,/ s?’fi??nt/                                             ,a.足够的，充分的
　　suit,/ sju:t/                                             ,n.起拆，诉讼【其动词形式为sue】 vt.适合
　　sulfur,/ ‘sΛlf?/                                             ,n.硫(磺)，硫黄
　　sulphur,/ ‘sΛlf?/                                             ,n.硫(磺)，硫黄
　　sum,/ sΛm/                                             ,n.总数；金额 vi.共计
　　summarize,/ ‘sΛm?raiz/                                             ,vt.概括，概述，总结
　　superficial,/ sju:p?’fi??l/                                             ,a.表面的；肤浅的
　　superior,/ sju:’pi?ri?/                                             ,a.较高的；优越的
　　supplement,/ ‘sΛplim?nt/                                             ,n.&vt.增补，补充
　　suppose,/ s?’p?uz/                                             ,vt.猜想；假定；让
　　supreme,/ sju:’pri:m/                                             ,a.最高的；最大的
　　surgery,/ ‘s?:d??ri/                                             ,n.外科，外科手术
　　surrender,/ s?’rend?/                                             ,vt.交出 vi.投降
　　surroundings,/ s?’raundi?z/                                             ,n.周围的事物，环境
　　survey,/ s?:’vei/                                             ,vt.俯瞰；检查；测量
　　survive,/ s?’vaiv/                                             ,vt.幸免于 vi.活下来
　　suspect,"/ s?s’pekt, ‘sΛspekt/                                             ",vt.怀疑 vi.疑心
　　suspend,/ s?s’pend/                                             ,vt.吊，悬；推迟
　　suspicion,/ s?s’pi??n/                                             ,n.怀疑，疑心，猜疑
　　suspicious,/ s?s’pi??s/                                             ,adj.怀疑的；可疑的
　　sustain,/ s?s’tein/                                             ,vt.支撑；供养；忍受
　　swallow,/ ‘sw?l?u/                                             ,n.燕子
　　swallow,/ ‘sw?l?u/                                             ,vt.&vi.吞下，咽下
　　sway,/ swei/                                             ,vi.摇动 vt.摇；摇动
