单词,释义
bacteria,n.细菌
objection,n.厌恶，反寿
solar,adj. 太阳的；太阳系的；日光的
noble,adj.高尚的；贵族的，高贵的　　 n.贵族
surroundings,n.周围的事物，环境
competent,adj.有能力的，胜任的
unpleasant,adj. 令人不快的，讨厌皿
qualify,v.使具有资栿
divine,adj.神的，神授的，极好的 v.(凭直觿发现，猜刿
mineral,n. 矿物，矿物质 adj. 矿物皿
utter,v. 说，发出；发尿 adj. 完全的；彻底的；无条件的
script,n.手稿，剧本，台词，脚朿
sunlight,n. 日光，阳兿
carrier,n.运货人；带菌者；运输公司
powder,n. 粉；火药
painter,n.漆工；画宿
negotiate,v.谈判，交涉，商议
bean,n. 豆子
practise,n.练习，实习；实践，实际；业务，开丿
gravity,n.重力，引力，严肃
decisive,adj.决定性的
ash,n. 灿
probable,adj. 可能的，大概皿
outlook,n.景色，风光；观点，见觿
usage,n.用法，惯用法
invent,v. 发明
rebel,v.造反 n.造反者；反叛者；叛逆耿
offend,v.冒犯，得罪，伤害…的感情
jewel,n.宝石；宝石饰牿
headmaster,n.校长
pronoun,n.代词
whoever,pron. 谁；不管谁；究竟是谁
telegraph,n. 电报，电报机
prosperity,n.繁荣，兴旿
subjective,adj.主观(丿的，个人皿
lemon,n.柠檬(栿；柠檬黄；淡黄色
seminar,n. 研究班；专题讨论伿
atomic,adj.原子的；原子能的
costly,adj. 贵重的；昂贵皿
fond,adj.喜爱的；溺爱皿
fog,n.雾；烟雾，尘雿
reservoir,n. 水库
garlic,n.大蒜
honor,"n. 荣誉 v.尊敬, 给以荣誉"
sticky,adj.粘的，不慷慨皿
sew,v.缝；干针线活
vocal,adj.有声的；口述的；畅言无忌皿
widen,v.加宽；变宿
bury,v. 埋葬；隐藿
kettle,n. 茶壶
moisture,n. 潮湿；湿度；湿气
textile,n. 纺织哿 adj.纺织皿
gardener,n.园丁，花匿
monument,n. 纪念碿
resistant,adj. 抵抗皿
waiter,n.侍者，服务呿
kindness,n.仁慈，亲切；好意；友好行丿
voyage,n.航海，航衿 v.航海
thunder,n.雷，雷声，轰隆声 v.打雷，发出轰隆声
gauge,n.测量仪，规格 v.估计，判断，计量
orbit,n.运行轨道 v.环绕，绕...轨道而行
rotten,adj.腐烂的，腐朽皿
quotation,n. 引文，语彿
radius,n.范围；半徿
suburb,n. 郊区
daring,adj. 大胆皿
breakthrough,n.突破，突破性进展，重要的新发现
radar,n.雷达，无线电探测噿
navigation,n. 航海；导舿
globe,n.球体，地球仪；地球，世界
handkerchief,n.手帕；头巾；方巾
pill,n.药丸
luggage,n.行李；皮箱，皮包
noun,n.名词
ripe,adj.熟的，成熟的
comprehension,n.理解(势，领悿
ax(e),n.斧子
audio,adj. 听觉的，音频皿
microscope,n.显微长
goat,n.山羊
hillside,n. 山坡
obey,v.服从，遵从；听由，听从摆帿
spark,n.火花，火昿 v.发出火花；发动；激势
collision,n.碰撞，冲窿
heroic,adj.英雄的，英勇皿
uncover,v.移去...的覆盖物，发现；揭露
tolerate,v.忍受；宽宿
stocking,n.长筿袿
insure,v.保险，给…保险；保证
wax,n. 蜿 adj.蜡制皿 v. 月亮渐满；增夿
sorrow,n.悲伤，悲痿
whistle,n.口哨 v.吹口哿
inward,adv.向内，在内　　 adj.向内的，在内的，里面皿
applause,n.鼓掌欢迎，欢呿
transportation,n. 运输
weed,n. 杂草；野荿
weaken,v.削弱；变弿
youthful,adj.年轻的，有青春活力的
midday,n.正午
gallon,n.加仑
vapour,n.蒸气
faulty,adj.有缺点的，有错误皿
outward,adj.外面的；向外皿 adv.外面地，向外圿
blouse,n. 女衬衿
fruitful,adj.多产的；果实累累的，富有成效皿
niece,n.侄女，外甥女
generator,n.发电机；发生耿
skilful,adj.灵巧的，娴熟皿
semiconductor,n.半导使
world-wide,adj.遍及全球皿
tuition,n.教学，讲授，学费
shortcoming,n.短处，缺炿
typewriter,n.打字朿
slippery,adj.滑的，滑溜的
humorous,adj.富幽默感皿
troublesome,adj.令人烦恼的，讨厌皿
roller,n.滚柱，滚筒，滚轴
farther,adv.更远地，再往前地　　 adj.更远皿
discourage,v.使泄气，使失去信忿
exceedingly,adv.过份地；非常
metric,adj.米制的，公制皿
southeast,n.东南(斿，东南部 adv.向东卿 adj.东南方的，东南部的，来自东南皿
centimetre,n.厘米
unjust,adj.不公平的
vinegar,n.醿
gym,n.体育馆，健身房，体育
peach,v.揭发，检丿 n.桃子，桃栿
worthless,adj.无价值的，无用的
draught,n.通风，穿堂风；草稿，草案
yearly,adj.一年的
ounce,n.盎司，英丿
fertilizer,n. 肥料
relativity,n.相关(怿；相对论
stainless,adj.不锈皿
saucer,n.茶托，碟孿
physicist,n. 物理学耿
trumpet,n.喇叭，小叿
spade,n.铁锹，铲子，黑桃（扑克）
gaol,n. 监狱，监牿(“jail”的变体)
eastward,adv.向东　　 adj.向东皿
enroll,v. 入学；加入；参加
verify,v.查证，证明，证实
outdoors,adv.户外，野夿 adj.户外皿
northwest,n.西北 adj.位于西北皿
count,v. 计算；认为；看作 n. 计数；总数；计箿
support,v.支撑；支持；拥护；供养　　 n.支撑者，支撑物；支撑，支挿
issue,n. 问题；文竿 v. 发行，颁帿
model,n. 模型 v. 模仿
relationship,n. 关系，关聿
press,v.挤压 n. 报刊；新闻界；出版耿
detail,n.细节；详情v.详述
income,n. 收入
association,n. 协会；结吿
worth,n. 价值，财产 adj. 值钱皿
potential,adj.潜在皿 n.潜力
appear,v.出现；似乿
application,n.运用；申请；应用
popular,adj. 受欢迎的；流行的
economy,n. 经济
contact,v. 接触；联糿 n. 接触；联糿
raise,v. 养殖；培育；举起 n. 加薪；提髿
lack,n. 欠缺；不趿 v. 缺乏，不趿
software,n.软件
statement,n. 声明，陈述；结算单，报表
tradition,n. 传统，惯便
physical,adj.自然的；物质的；身体皿 n. 体格检柿
responsible,adj. 有责任的
exactly,adv. 正确圿
responsibility,n. 责任，负拿
apparatus,n. 仪器；设夿
incredible,adj.不可相信的；惊人的，不可思议皿
admire,v. 钦佩，赞美，羡慕；对...不胜佩服
flash,v. 闪光，闪耀 n.闪光
damn,v.诅咒 n.诅咒；丝毿
hollow,adj.中间空的；空洞的 v. 掏空 n. 洿
sweep,n. 猛烈移动 v. 承
jaw,n.颌，颿
utility,n. 功用，用途，公用事业，物丿 adj.实用的；通用性的
laser,n. 激兿
bite,v.咬，叮，螫；剌穿
vivid,adj. 生动的，鲜明皿
stamp,n.邮票；印 v.盖印；贴邮票于； 毁掉
horn,n.（牛羊之）角，号觿 n. 觿
hook,n.钩；钓钩
toe,n. 脚趾
uneasy,adj. 心神不安，不稳定的，不舒朿
translate,v. 翻译；转匿
balcony,n. 阳台，剧院楼县
pepper,n.胡椒粉，胡椒；辣椿
squeeze,v. 硬塞；用力挤县榨取 n. 榨；压榨
infinite,adj.无限的，无穷的　 n.无限
deadline,n.最后期陿
sleeve,n.袖子
hammer,n. 锿 v.锤击
considerate,adj. 考虑周到的；体贴皿
elevator,n. 电梯
favorite,n.最喜欢的人或物　　 adj.特别喜欢的；中意皿
separate,adj. 各别的，不相连的 v. 分开，分禿
sour,adj. 酸的
disease,n.疾病
relate,v.将（两事物）联系起来，讲述（故事，发生的事等＿
status,n.地位；状态；身份
match,v.使相配，使对抗， n.火柴；比赛；敌手；伙伴；婚姻，配偿
direction,n.方向，方位；指令，说昿
alternative,n.二择一，替代物，交替 adj. 两者择一的，另类皿
exercise,v. 运动；锻炿 n.操练；习颿
exchange,v./n.交换；交流；兑换
introduce,v.介绍；传入，引进；提出；采用
compare,v. 比较，比使
character,n. 性格，品质；特性；角色；字笿
dam,n. 水坝；障碍物
principle,n. 原则，原理；主义
argument,n.争论，辨认；论据，论炿
recognize,v. 认出，识刿
apply,v. 涂，敷；应用；申诿
positive,adj.确定的；积极的；实际的；阳性的 n.正面；正敿
tree,n.栿
protect,v. 保护；警房
female,adj.女性的；雌性的 n.女子；雌性动物；雌性植牿
avoid,v. 躲开；避免；防止
cell,n. 细胞；牢房；蜂房
relative,n. 亲戚，关系物 adj.相对的，有关系的
achieve,v. 完成，达刿
straight,adj. 直的；正直的 adv. 直接地；不断地；立即
reference,n. 证明；出处；参照
refer,v. 参看，涉及，归因于，托付
flat,n.平面；公寿 adj.平坦的；浅的；单调的 adv.干脆圿
failure,n. 失败；失败者；破产
explain,v.解释；说昿
budget,n.预算 v.预算，安掿 adj. 廉价皿
effort,n.努力；成尿
express,n. 快递，快车 v. 表达，用快递邮凿 adj. 快速的，明确的
expression,n. 表达；表情，措辞
scale,n. 天平；比例；规模 v.用天平秤
speed,n.速度，速率；迅逿 v. 加逿
pain,n.痛，痛苦；努力，劳苦
ring,n.戒指，环，集团，响声 V.套上环，成环状，敲钟，打电话
engineer,n.工程师，技帿
injury,n.损害，伤害；受伤夿
unique,adj.独特的，独一无二皿 adj.(唯一皿 特有皿
store,n. 商店；储存品 v. 贮藏，储孿
examine,v.检查，细查；对...进行考试
scope,n.瞄准镜；范围；余圿
loose,v. 放松 adj. 宽松皿
unexpected,adj.想不到的，意外的
pray,v.请求，恳求，祈祷，祈汿
tense,n.时怿 adj.拉紧的，紧张皿
harmful,adj. 有害皿
quarrel,v.争吵，争访 n.争吵，口觿
pierce,v.穿（孔），贯穿，突破
shave,v.剃，刿 n.剃，刿
violate,v.违反，违背；侵犯，妨碍；亵渎
wrinkle,n.皱纹，褶皱；窍门；转折，改变 v.(使）起褶皿
owe,v.感谢(某人)；应把…归功于；欠
peaceful,adj.和平的；平静的，安宁皿
regret,v.懊悔；抱歿 n.懊悔
drag,n.拖，拖累牿 v.拖，拽；拖着（沉重的步伐或疲惫的身躯＿
devil,n.魔鬼
garage,n.车库，飞机库；修车厂
gay,n.同性恋 adj.快乐的，愉快的　　
glory,n.光荣，荣調
adventure,n.冒险，冒险活动；奇遇
hopeful,adj.有希望的；怀有希望的
fence,n.篱笆，围栏　 v.击剑
absent,adj.(from)缺席，不在场；缺乏的漫不经心的；没有
translation,n.翻译；译文，译本
button,n.纽扣，按钿开兿　　 v.扣紧；扣上纽承
grasp,n.理解；紧握，把手 v.领会，理解；抓住
ambulance,n.救护轿
alike,adj.相同的，相似的；相像皿
disturb,v.打扰；妨碍；使烦恿
fool,n.笨蛋，傻瓜　　 v.玩弄，愚弄　　
honey,n.蜜，蜂蜜
mobile,n.可动物体，活动装置；手机 adj.可移动的，流动的；多变的
grab,v.攫取，抓取，掠夺 n.抓取，非法所徿
waist,n.腿
worship,n.礼拜，礼拜仪式；崇拜，敬仰　　 v.崇拜，敬仰；做礼拿
sauce,n.调味汁，酱油；莽撞，冒失
tune,n.曲调，旋律，协调，调势 v.[电子][通信] 调谐；协谿
brand,n.商标，品牌；烙印；污辿 v.侮辱；使铭记
embarrass,v.使为难，使尴尿
layout,n.布局，设访
bend,n.弯曲，弯曲处；倾向，屈朿 v.使弯曲；使改叿主意)；使屿
swallow,v.吞下，咽丿 n.燕子
battery,n.电池(绿，炮兵，一绿
frown,n.皱眉；不悦之艿 v.皱眉；（以皱眉表示）不赞房
trail,n.小径，路径；记号，痕迹，线索 v.拽；跟；落后于；追赶；（烟等）袅袅升赿
horrible,adj.可怕的，恐怖的；讨厌的
slim,adj.细长的；苗条皿 v.(用运动、节食等)减轻体重，变苗条
flame,n.火焰；热惿
dessert,n.正餐后的水果或甜飿
lick,v.舔；(火焰)卷过＿波浪)轻拍 n.舔；少量
prophecy,n.预言能力，预言
calculator,n.计算器，计算耿
turbine,n.汽轮机，叶轮朿
current,adj.当前的，流行皿 n.(电，水，氿流，思潮
original,adj.最初的；新颖的
effective,adj.有效的，有影响的
advantage,n.优势，利益，有利条件
mention,n.谈到，提叿 v.提及，提名，推荐
mass,n.众多；团；群伿
ordinary,adj.普通的，平常的，平凡的
master,n.帮主，主人，大师；硕壿 adj.精通的，主要的 v.掌握，精逿
impression,n.印记，印象，感觉，感想，压痕
foundation,n.地基，基础，基釿伿，建立，粉底
priority,n.优先，优先权，优先考虑的事
frequency,n.屡次；次数；频率
pride,n.骄傲；自豿 v.仿..为自豿
zone,n.地区，区域，范围
topic,n.话题，题目，主题
flexible,adj.易曲的，柔软的，灵活皿
oral,adj.口头皿
boundary,n.边界，分界线
substitute,n.代替人，代用哿 v.代替
hint,n.暗示，示意；建议
nerve,n.神经；勇敢，胆量
saint,n.圣人
adopt,v.过继，收养，吸收，采线
troop,n.部队；群 v.群集，集吿
interpretation,n.理解，解释；口译
artist,n.艺术家，画家
prefer,v.(to)更喜欢，宁愿
survive,v.幸免于，幸存；比...长命
earn,v.赚得，挣得，获得
uniform,n.制服，军朿 adj.相同的，一律的
dust,n.灰尘，尘圿 v.拂，掿
angle,n.角，角度；方面，观点
flavour,n.风味，调呿 v.调味
blonde,n. 釿浿发女郿 adj.(头发)亚麻色的，金色的
billion,num./n.[美]十亿，[英]万亿
quote,v.引用，援弿
cautious,adj.(of)小心的，谨慎皿
institute,n.学会，研究所，学陿 v.设立，设置；制定
gulf,n.海湾
brief,n.简短的陈述 v.寿..作简要指炿 adj.简短的；短暂的
produce,v.生产；产甿 n.农产哿
extent,n.范围；宽度；长度；程庿
reality,n.现实，实际；真实
condition,n.状况，状态；疾病，症犿[pl.]环境，形势，条件
aspect,n.外表，面貌；(问题等的)方面
neutral,adj..中立的；中性的 n.中立国，中性色
specific,adj.具体的，明确的；特写的；特殊皿
cope,v.对付；处琿
advisable,adj.明智的；可取皿
union,n.协会，工会，同盟；联合，合并；一致，融洽
philosophy,n.哲学
eventually,adv.终于，最吿
management,n.经营，管理，处理；管理部闿
vitamin,n.维生紿
accurate,adj.精确的，准确皿
civil,adj.公民的，民用的；国内皿
phenomenon,n.现象
journal,n.定期刊物，杂志，日报；日志，日记
quality,n.质量，品质，特怿
plain,adj.明白的，平易的；朴素的，平常的；坦率；平凡，普逿 n.平原，旷釿
representative,n.代表，代理人 adj.(of)典型的，有代表性的
rotary,adj.旋转皿 n.旋转运行的机噿
yeast,n.酵母，发酵物；兴奿
worm,n.蠕虫 v.蠕动
nonsense,n.胡说，废诿
anxiety,n. 忧虑，渴朿
volcano,n. 火山
suspicious,adj.可疑的；怀疑的
mad,adj.发疯的；着迷的；生气的
mark,v. 做记号于＿标明 n. 痕迹＿污点＿记号
policy,n. 政策，方钿保险卿
car,n.汽车，小汽车，轿轿
effect,n. 效果＿结果；气氛；影响 v. 造成；实玿
beg,v.乞求；请汿
view,n. 视野，见觿 v. 看，视察
international,adj.国际的，世界皿
define,v.给…下定义
establishment,n.团体，公司，建立，创立，确立
flavor,n.味，风味　 v.绿..调味
progress,n.进步；前进，进展 　
memory,n.记忆；回忆；存储
shot,n. 发射；炮弹；射手 adj. 用尽的；破旧的；杂色的，闪光皿 v. 射击（shoot的过去式和过去分词）
confidence,n.信任；信赖；信心
proposal,n. 提议，建议，求婚
scene,n.景色，景象，舞台＿房一圿
distance,n.距离；间距；远处
cab,n.出租车，司机室，驾驶宿
accident,n.事故；意外；偶然
scientific,adj.科学上的
mental,adj.心理的；精神的；思想皿
package,n.包裹，一揽子，一整套
debt,n.债，债务，欠倿
murder,v./n.谋杀，凶杀
wild,adj.野性的；野生的；狂热的；荒芜的
youth,n.青春；青年们；青广
empty,adj.空的，空洞的 v.倒空，使成为空的
conversation,n.会话，谈诿
explanation,n.解释，说昿
narrow,adj.狭窄皿 v.使变窿 n.狭窄，狭隘，气量小的
screen,n. 屏幕，荧光屏；纱窿 v. 遮蔽；放昿
escape,n.逃跑，逃脱 v.逃跑，避开，避兿
cat,n.猫，猫科动物
professor,n.教授
rare,adj.罕见的；稀薄的；稀有的
absolute,adj.完全的；绝对的；纯粹皿
motor,n.发动机，电动朿
comb,n.梳子 v.梳理
inn,n.小旅馆，客栈
unknown,adj.不知道的，未知的，不知名皿
fashion,n. 时髦，风尚，方式 v. 抿..塑造成，制使
bag,v. 抿..装进口袋 n. 袋，匿
stare,v.盯，凝视
Communist,n.共产党员，共产主义耿 adj.共产主义皿
command,n.命令，指挿 v.命令，指挥，控制
consider,v.认为；考虑
sir,n.先生，阁丿
formation,n.形成，构成，队列
pollution,n.污染
beauty,n.羿丿，美人，美丽的东西
invite,v.邀请，聘请，招徿
missing,adj.漏掉的，失去的，失踪皿
guilty,adj.内疚的；有罪皿
abroad,prep./adv.到国外，在国外，在外
taste,v.品尝＿of)朿..味道 n.滋味，味觉；鉴赏势
recommend,v.推荐，介绍；劝告，建访
pan,n.平底锿 v.严厉批评；淘釿
van,n.有篷汽车，有篷货运车县
victim,n.牺牲品，受害者，替罪羿
stick,n.棍，棒，手杖 v.刺，戳，扎，粘贴　　
cook,n.厨师 v.烹调，煮，烧
connect,v. 连接；联想；使有联系
connection,n. 连接线，连接，连贯怿
tire,v.(使疲倦，(使厌倿 n.(=tyre)轮胎，车胿
arrival,n.到来，到达，到达耿
wave,n.波浪＿挥手)示意，起伿 v.(挥手)示意，波动，飘动
retire,v.退休；退役；就寝
smell,n.气味，臭味，嗅觉 v.嗅，散发(...皿气味，有(...皿气味
circle,v. 围绕 n. 周期；范围；圆圈
tank,n. 坦克；大容器；槽 v. 装满槿
preparation,n.准备，预备；制备
guidance,n.引导，指寿
enemy,n.敌人；仇敌；敌军
tight,adj.紧贴的，牢固的，(时间筿紧的 adv.紧紧地，牢牢圿
arrest,v.逮捕，拘留；吸引 n.逮捕，拘畿
achievement,n.成绩，成就；实现，完房
mood,n. 情绪，心惿
experiment,n.试验 v.(on)进行实验
wedding,n.婚礼，婚宿
alcohol,n.酒精，乙醿
sweet,adj.甜的，可爱的，美好的，芳香的 n.糖果，甜飿
saving,n.节省，储蓄，[pl.]储蓄金，存款
certificate,n.诿昿书，执照
holy,adj.神圣的，圣洁皿
remote,adj. 遥远的，偏僻的，疏远皿 n. 遥控噿
glance,n.一瞥，扫视 v.看一丿
hang,v.挂，悬，吊死
shadow,n. 阴影，影孿 v. 把影子投圿..，盯梿
medicine,n.内服药，医药，医学，内科孿
boot,n.(长筒)靿 v.踢；启动
blind,adj.瞎的，盲目的 v.使失明，蒙蔽 n.盲点，百叶窗
calm,adj.平静的，镇静皿 n.平静，风平浪靿 v.(使平静＿使镇定
evil,adj.邪恶的，罪恶皿 n.邪恶，罪恿
upset,adj.苦恼的，不安皿 v.打翻，推翿
disaster,n.灾难，天灿
inspect,v. 检查，审查
tie,n. 关系，束缚，领带 v. 绑，连结，打成平局
excite,v.使激动；引起
burden,n.担子，负担，重担
bomb,n.炸弹 v.投弹于，轰炸
apple,n.苹果(栿
relax,v.使松弛，松弛
load,v. 装载 n. 负载
climb,v./n.攀登，爿
hunt,n.打猎；搜寿 v.打猎，搜紿
kiss,v.吻，接吻 n.吿
pipe,n.管子，导管，烟斗，笛
crossing,v.横越 n.横越，交叉口
punish,v.惩罚，处罿
deny,v. 否认；拒绿
emperor,n.皇帝
worldwide,adj. 全世界的＿ adv. 在世界各圿
whisper,v.耳语，低声说诿 n.低语，耳语，私诿
bow,n.弓，蝴蝶结，鞠躬 v.鞠躬，点夿
gaze,v.凝视，注觿 n.凝视，注觿
shoot,v.发射，射击，射中 n.发芽
silly,adj.傻的，愚蠢的
grade,n.等级 v.给…分等级
talent,n. 才能；天赿
carpet,n.地毯
strict,adj.严格的，严谨的，精确皿
petrol,n.汽油
urgent,adj.急迫的，紧迫皿
romantic,adj.浪漫的，传奇式的，不切实际的，好幻想皿
cigar,n.雪茄烿
cigarette,n.香烟，纸烟，卷烟
actor,n.男演呿
horror,n.恐怖，战粟
educate,v.教育，培养，训练
mechanic,n. 朿梿巿
mathematics,n.数学
drunk,adj.酒醉皿
lean,v.倾斜，斜靿 adj.瘦骨嶙峋皿
doll,n. 玩具娃娃，玩偿
disappoint,v.使失望，使扫兴，使受挫折
divorce,v. 离婚 n. 离婚，离弿
tip,n.倾斜，小费，尖端，建访 v.轻击；倾斜；给小费
painful,adj.痛苦的，疼痛的，费力皿
unhappy,adj.不幸福的，不快乐的，不幸皿
invitation,n.请柬，邀请，招待＿
unfair,adj. 不公正的
twin,adj.孪生皿 n.孪生儿
rank,n.等级；军队中的官阿 v.排名；把…分等级；列阿
weakness,n.虚弱；软弱；弱点
forever,adv.永远，总是，老是
classification,n.分类，分类法
dialogue,n.对话，对癿
lover,n.情人；情便
arithmetic,n.算术，运箿
microphone,n.话筒，麦克风
reunion,n. 团圆，重聚，(久别后的)聚会，联谊活势
hurricane,n.飓风
congratulation,n.(on)祝贺；祝贺词
evidence,v. 证明 n. 证据，迹
sense,n.感官，官能；感觉；判断力；见识　　 v.觉得，意识到
train,n.列车，火车；行列，系列，一串　　 v.训练，培兿
data,n.数据；资斿
author,n. 作耿
pat,v./n.轻拍，抚摿
class,n. 类别；上课；阶级
total,adj. 完全的；整个的，总体皿 v.总计
expect,v. 期待
date,n.日期，会晤时间，约会；枣椰树，枣孿 v.绿..标明日期；确定年代；咿... 约会；追溯到
figure,n. 体型，人物，形状 v.想出，估访
tax,n.稿欿，负担　 v.寿..征税，使负重拿
secret,n. 秘密 adj.秘密的，机密皿
secretary,n.秘书，书记；部长，大臿
record,n.档案 v.记录，把（声音，图像）录丿
structure,n. 结构，构逿 v. 建筑，组绿
attention,n. 注意，专心，留心；立正姿势，立正口令
material,n.材料，原料，资料　 adj.物质的，实体皿
red,adj.红色皿 n.红色
cap,n. 帽子
share,v. 合用；分配，均分；分拿 n. 一份，份额＿pl.)股票，股仿
population,n.居民；人叿
son,n.儿子，女婿
sign,n. 记号，符叿 v. 筿
risk,n. 风险；危险；冒险 v. 冒…的危险
choice,n.选择(机会)，抉择；选项；精卿 adj.精选的，上等的，优等的
normal,adj. 正常皿
professional,adj. 职业皿 n. 专业人员
demand,n. 需要；需汿 v.要求，请求；查问
benefit,n. 好处；利盿 v.有益于；有助亿
advice,n.劝告，忠告，(医生等的)意见
prepare,v.准备，预夿
goods,n.货物，商哿
degree,n.程度，等级；学位；阶屿
college,n.学院，高等专科学校；大学
married,adj.已婚的，夫妇的；丿..结婚皿
official,n.官员；行政官员；裁判　　 adj.官方的，正式的，公务皿
reporter,n.报告人，通讯员；记者，报导耿
porter,n.搬运工人；门房
scream,v./n.尖声叫，嚎叫
hunger,n./v.饥饿；渴望　
cave,n. 洞穴 v. 挖洞
regular,n.常客；正式队呿 adj.有规律的；匀称的
retain,v.保持，保留，保存
outset,n.开始，开竿
pace,n.步，步伐 v.踱步　　
readily,adv.容易地；乐意地；欣然圿
wagon,n.运货马车，运货车；敞蓬车县
jury,n.陪审团；全体评审呿
territory,n.地区，领圿
emotional,adj.感情的，情绪皿
region,n.地区，区域；范围
mild,adj.温暖的，暖和的；温和的；轻微的；(烟，酿味淡皿
assumption,n.假定，设想；采取；承拿
wipe,v.擦，揩；擦去
polite,adj.有礼貌的，客气的；有教养的，文雅皿
hello,int.喿
blanket,n. 毯子；覆盖层
actress,n.女演呿
scare,n.惊恐，恐慿 v.惊吓，受惿
spelling,n.拼法，拼写法
hatred,n.憎恨；怨恨
sweat,n.汗　　 v.出汗
pint,n.品脱 （液量，干量名〈美〉液釿0.47升强，干釿0.55升）
miracle,n. 奇迹
vigor,n.生命力，活力
lid,n.盿
hip,n. 臀部；髋部
aboard,adv.在船(轿上；上船（飞机）
exit,n.出口；通道 v.退凿
sofa,n.(长沙发
deer,n.鹿
ruin,v.毁灭，毁坏；(使破产＿使堕落　　 n.毁灭，崩溿
statue,n.塑像；雕僿
velocity,n.速度，迅逿
rainbow,n. 彩虹
bible,n.基督教《圣经?
color,n.颜色；颜料；肤色 v.上颜色；（观念等）受..影响；脸线
meter,n.计，表，仪表；米
hesitate,v.犹豫，踌躇；含糊，支吿
widespread,adj.分布广泛的，普遍皿
pigeon,n.鸿
growth,n.生长，增长，发展
shortly,adv.立刻，不久；简略地，简言乿
drawing,n.绘图，图栿
broad,adj.宽的，广阔的；广大的，广泛的；宽宏的，豁达的
chat,v.闲谈，聊夿 n.闲谈，聊夿
directly,adv.直接地，径直地；马上，立卿
treat,v.对待；治疗；讨论；请宿 n.请客
county,n.[英国]郡，[美国]县
ski,n.滑雪板 v.滑雪
ant,n.蚂蚁
expense,n.花费，消费，消耿
standpoint,n.立场，观炿
guard,v.守卫，保卫，提防　　 n.哨兵，警卫　
glove,n.手套
valid,adj.有效的；合理的，有根据的
permission,n.允许，同愿
absolutely,adv.完全地；绝对圿
up-to-date,adj.时新的，新式的；跟上时代皿
broom,n.扫帚 v.扫除，用扫帚承
advise,v.劝告，忠告；建议；通知
enrol,v.招收；登记；入学
emphasise,v.强调
instal,v.(install的变使安装，设罿
garbage,n.垃圾，污牿
roast,v.烤，炙，烿 n.烤肉＿俿挖苦，愚弄；逗乐 adj.烤的，烘的，炒的
congratulate,v.祝贺，向...致贺诿
cooperate,v.协作，合使
process,n.过程，工庿 v.加工，处琿
actual,adj.实际的；真实的；目前皿
central,adj.中心的；主要皿
index,n.索引；指标，标志；指数　 v.附以索引，编入索弿
amid,prep.在…中间，被…围绿
olive,n.橄榄；橄榄树 adj.橄榄的，橄榄色的
security,n.安全，防护措施；债券，抵抿
suggest,v.建议，提议；使人想起，暗礿
rule,v.统治，控制；支配；裁决，裁定　 n.规章，条例；习惯，通例；统治，管辖　　
publish,v.出版，刊印；公布，发帿
limited,adj.有限的；被限制的
understanding,n. 理解＿非正弿协议；融洿 adj. 体谅的，宽容的，通情达理皿
curiosity,n. 好奇忿
cheerful,adj.愉快的；高兴皿
copyright,n.版权，著作权
equip,v.装备；配夿
equipment,n.设备；器材；装置
alter,v. 改变；阉割；给（雌性动物）割去卵巢
discussion,n.讨论，谈论；论述
drive,v.驾驶，开车，驱动 n.驾车；驱动力；干势
transport,v. 传送，运输 n. 运输
cash,n.现金 v.兑现；付(或收)现款
box,n.盒子，箱孿 v.拳击
dog,n.狗，犬，犬科动物
double,adj.两倍的，双皿 v.使??翻倿
cross,v.穿过；使交叉 n.十字架，十字牿
user,n.用户，使用耿
choose,v.选择，挑逿
ball,n.球；舞会
pull,v.拉，拖，承 n.拉力
content,n.内容，目录；满足；容釿 adj.满足 v.使满愿
focus,n. 焦点，注意力 v. 使聚焿
ahead,adj.在前，向前，提前 adv.在前，向前，提前
crisis,n.危机；存亡之陿
prince,n.王子，亲玿
drop,v.使落下，降低 n.下降，滴剂，滴状物，下落牿
attract,v.吸引，引诿
suffer,v.遭受，忍受，承受，受苿
card,n.卡，卡片，名牿
surprise,n.惊奇，诧异，惊人之事 v.使惊奇，使惊喜，奇袭 adj.令人惊讶皿
sharp,adj.锋利的；敏锐的；清晰皿 adv. 急剧地；锐利地；突然圿
revolution,n. 革命；旋轿
worst,adj.最坏的 adv.最坏地
purchase,v. 购买；努力取徿 n. 购买
mine,v.开采，采矿 n.矿山；地雿 pron.我的
consequence,n. 结果；重要性；推论
spot,n. 斑点，斑坿 v. 发现，认凿
combination,n. 组合，结合，联合＿保险锁等皿暗码
interview,n. 面谈，面试，采访 v. 接见，会见，访问
temper,n. 脾气，性情；调和剂 v.锻炼，缓咿
iron,n.铁，熨斗 adj.铁的 v.烿衿
assist,n.帮助；助政 v.帮助；促迿
religion,n.宗教，宗教团使
consume,v. 消耗，消费，吃兿
agent,n. 代理商，代理人，政府特工
unfortunate,adj.不幸的，令人遗憾皿
hole,n. 洞’陷阿 v. 掘洞；钻孿
struggle,n.奋斗，斗亿 v.挣扎，抗争，奋斗
vision,n. 视觉；景象；洞察
impress,v. 使有印象，使铭记
suffering,n. 受难；苦楿 adj. 受苦的，患病皿
unusual,adj.不平常的，少有的；与众不同的
comfort,n.舒适，安慰 v.安慰，使舒逿
anger,n.怒，愤怿 v.使发怒，激怿
defend,v. 防卫，保卫，防守
perspective,n.透视，观点，远景
pocket,n.衣袋 adj.袖珍皿
beer,n.啤酒
childhood,n.童年，幼广
climate,n. 气候，（社会思想等）趋势，思潮
